Dataset,Samples,Dimensions,Ground Truth Clusters,Predicted Clusters,ARI,NMI,Silhouette,Matched Accuracy,Centroid RMSE
S3,5000,2,15,15,0.7201386948319252,0.7967071253814628,0.45982539371519576,0.8494,8798.659287429951
S4,5000,2,15,15,0.578524742598416,0.7104989066089828,0.3662586685244258,0.7662,10187.76998666381
